name,company,pack_size,link,sale_price,mrp,letter
Apizyt 120 ml syrup,Hinucon,120ml,https://dawaai.pk/medicine/apizyt-120-ml-syrup-37971.html,252,280,a
Aquavit,Wilson's,10,https://dawaai.pk/medicine/aquavit-sachet-37987.html,19,21,a
Alcuflex 550mg,ICI Pakistan Limited,20's,https://dawaai.pk/medicine/alcuflex-550mg-37997.html,192,213,a
Amorin,Mass-PH Health,10x10's,https://dawaai.pk/medicine/amorin-50-mg-38009.html,178,198,a
Actifed-DM,GlaxoSmithKline,90ml,https://dawaai.pk/medicine/actifed-dm-38019.html,132,146,a
Avsar,Pharm Evo,2x7's,https://dawaai.pk/medicine/avsar-580-mg-tablet-38133.html,222,247,a
Ampress 10mg Tablet,Barrett,20,https://dawaai.pk/medicine/ampress-10mg-tablet-38134.html,180,200,a
Aminovel 600mg Injection,Otsuka,500ml,https://dawaai.pk/medicine/aminovel-600mg-injection-38150.html,815,906,a
Atenolol 100mg,Zafa,2x10's,https://dawaai.pk/medicine/atenolol-100mg-1-38158.html,59,66,a
Alzilo,Searle,1x10's,https://dawaai.pk/medicine/alzilo-05mg-38159.html,182,202,a
Amgydex Eye Drop 5ml,Kobec,1,https://dawaai.pk/medicine/amgydex-eye-drop-38204.html,194,215,a
Actiflor,Pharm Evo,1x10's,https://dawaai.pk/medicine/actiflor-38224.html,50,56,a
Ampiclox Drop 90mg,GlaxoSmithKline,20ml,https://dawaai.pk/medicine/ampiclox-drop-90mg-38281.html,113,126,a
Awardin Plus,Werick,2 x 10's,https://dawaai.pk/medicine/awardin-plus-50mg-1-38310.html,237,263,a
Amgy,Kobec,5ml,https://dawaai.pk/medicine/kobec-38349.html,135,150,a
Amlocard 10,Pharmatec,2 x 10's,https://dawaai.pk/medicine/amlocard-10-38350.html,209,233,a
A2A,Wilson's,2 x 10's,https://dawaai.pk/medicine/a2a-3-38381.html,137,152,a
Amlocard 5,Pharmatec,2 x 10's,https://dawaai.pk/medicine/amlocard-5-38409.html,107,119,a
Amclav,Getz Pharma,20 ml,https://dawaai.pk/medicine/amclav-14-38579.html,161,178,a
Acetra,Amarant,1 x 10's,https://dawaai.pk/medicine/acetra-1-39031.html,155,172,a
Angiwell,Aspin Pharma,2 x 7's,https://dawaai.pk/medicine/angiwell-40126.html,183,203,a
Acicon,Barrett,1x10,https://dawaai.pk/medicine/acicon-1-41126.html,232,258,a
AM-Telsan,Hilton,2x7's,https://dawaai.pk/medicine/am-telsan-41171.html,221,246,a
Aminophylline,LCPW,50 ampx10 ml,https://dawaai.pk/medicine/aminophylline-42702.html,468,520,a
Agolix,Hirani's Pharma,60 ml,https://dawaai.pk/medicine/agolix-42736.html,94,105,a
Agolix,Hirani's Pharma,1 x 10's,https://dawaai.pk/medicine/agolix-1-42737.html,200,223,a
Aireez,Pharm Evo,14's,https://dawaai.pk/medicine/aireez-2-42758.html,265,294,a
Amisped,Sanofi,14's,https://dawaai.pk/medicine/amisped-2-42774.html,202,224,a
Asthiven,Scilife,14 sachet,https://dawaai.pk/medicine/asthiven-42785.html,225,250,a
Asthiven,Scilife,14's,https://dawaai.pk/medicine/asthiven-2-42787.html,176,195,a
Avsar Plus,Pharm Evo,4 x 7's,https://dawaai.pk/medicine/avsar-plus-43512.html,96,106,a
Am-Telsan,Hilton,2x7's,https://dawaai.pk/medicine/am-telsan-10mg40mg-43541.html,238,264,a
Advacort 0.1% 10g,Atco,10gm,https://dawaai.pk/medicine/advacort-01-10g-43542.html,216,240,a
Avsar Plus,Pharm Evo,4x7's,https://dawaai.pk/medicine/avsar-plus-16010125mg-43564.html,107,119,a
Amoxil,GlaxoSmithKline,5x20's,https://dawaai.pk/medicine/amoxil-500mg-100s-43573.html,273,303,a
Atorva,Pharmatec,10,https://dawaai.pk/medicine/atorva-43801.html,574,637,a
Aurora,Ferozsons,1x10's,https://dawaai.pk/medicine/aurora-44165.html,488,542,a
Arynoin-Plus Gel 10g,Pharma Health,10 gm,https://dawaai.pk/medicine/arynoin-plus-gel-10g-44188.html,425,472,a
Amico-M Sugar Free,Amarant,120ml,https://dawaai.pk/medicine/amico-m-sugar-free-120ml-44209.html,383,425,a
Atmos,Scotman,1x10's,https://dawaai.pk/medicine/atmos-20mg-1-44246.html,233,259,a
Amity,Scotman,60ml,https://dawaai.pk/medicine/amity-suspension-125mg-44262.html,158,175,a
Amity,Scotman,60ml,https://dawaai.pk/medicine/amity-suspension-250mg-44264.html,180,200,a
Amity,Scotman,1x10's,https://dawaai.pk/medicine/amity-tablets-250mg-44265.html,190,211,a
Amity,Scotman,1x10's,https://dawaai.pk/medicine/amity-tablets-500mg-44267.html,286,318,a
Advance,Scotman,1x10's,https://dawaai.pk/medicine/advance-44277.html,144,160,a
Amak,Hudson Pharma's,5's,https://dawaai.pk/medicine/amak-44345.html,125,139,a
Amak,Hudson Pharma's,5's,https://dawaai.pk/medicine/amak-1-44346.html,250,278,a
Amak,Hudson Pharma's,1's,https://dawaai.pk/medicine/amak-3-44348.html,165,184,a
Avsar Plus,Pharm Evo,4x7's,https://dawaai.pk/medicine/avsar-plus-1-44902.html,449,499,a
Atem,Chiesi,2x5's 2ml,https://dawaai.pk/medicine/atem-2-44979.html,540,600,a
Adablizer,Adamjee Pharmaceuticals,3x10's,https://dawaai.pk/medicine/adablizer-1-45010.html,160,177,a
Adapco,Atco,15gm,https://dawaai.pk/medicine/adapco-2-45041.html,268,298,a
Avodart,GlaxoSmithKline,3x10's,https://dawaai.pk/medicine/avodart-45093.html,"3,833","4,259",a
All Purpose Nipple Ointment (APNO),Nigehban,30gm,https://dawaai.pk/medicine/all-purpose-nipple-ointment-apno-45244.html,450,500,a
Amodip,Mass-PH Health,3x10's,https://dawaai.pk/medicine/amodip-6-45743.html,621,690,a
Amoxi-Clav,Sandoz,2x3's,https://dawaai.pk/medicine/amoxi-clav-17-45908.html,66,73,a
Azocam,Le Mendoza,2x5's,https://dawaai.pk/medicine/azocam-3-45972.html,270,300,a
Aireez,Pharm Evo,3x10's,https://dawaai.pk/medicine/aireez-5-45973.html,431,479,a
Am-Descol,Nabi Qasim,2x7's,https://dawaai.pk/medicine/am-descol-46301.html,163,181,a
Amodip-V,Mass-PH Health,2x7's,https://dawaai.pk/medicine/amodip-v-46379.html,293,325,a
Aireez,Pharm Evo,3x10's,https://dawaai.pk/medicine/aireez-6-46394.html,90,100,a
Aproxen,Schazoo Pharmaceuticals,3x10s,https://dawaai.pk/medicine/aproxen-2-46414.html,71,79,a
Asthiven,Scilife,1x14's,https://dawaai.pk/medicine/asthiven-3-46420.html,189,210,a
Alfa-D,Platinum,1x10's,https://dawaai.pk/medicine/alfa-d-46431.html,360,400,a
Abri Flex Adult Pull-up - Extra Large,Abena,14 Pcs.,https://dawaai.pk/medicine/abri-flex-adult-pull-up-extra-large-46469.html,"7,110","7,900",a
Amodip.,Mass-PH Health,3x10's,https://dawaai.pk/medicine/amodip-7-46504.html,107,119,a
Agnar,Getz Pharma,3 x 10's,https://dawaai.pk/medicine/agnar-1-46510.html,810,900,a
Aquazole,Martin Dow,20 gm,https://dawaai.pk/medicine/-46563.html,198,220,a
Altin-Met,ICI Pakistan Limited,2 x 7's,https://dawaai.pk/medicine/-46564.html,232,258,a
Am-Telsan,Hilton,2 x 7's,https://dawaai.pk/medicine/-46703.html,281,312,a
Amoxi-Clav,Sandoz,3 x 2's,https://dawaai.pk/medicine/-46710.html,83,92,a
Aripan,Cell Laboratories,3 x 10's,https://dawaai.pk/medicine/-46877.html,171,190,a
Aceclocare,Titlis Pharma,1 x 10's,https://dawaai.pk/medicine/-47027.html,107,119,a
Acuron,Brookes,5 Amp x 5 ml,https://dawaai.pk/medicine/-47280.html,318,353,a
Apitent,Sois Life Sciences,120 ml,https://dawaai.pk/medicine/apitent-syrup-120-ml-bottle-47452.html,162,180,a
Avaam,ICI Pakistan Limited,2 x 7's,https://dawaai.pk/medicine/avaam-5-160-mg-tablets-2-x-7s-pack-47453.html,304,338,a
Alkeris-SR,Sami,3 x 10's,https://dawaai.pk/medicine/alkeris-sr-200-mg-tablets-3-x-10s-pack-47657.html,126,140,a
A-Glip,Atco,1 x 14's,https://dawaai.pk/medicine/a-glip-50-mg-tablets-1-x-14s-pack-47773.html,356,396,a
Acukat,Genix,5 ml,https://dawaai.pk/medicine/acukat-drops-5-ml-pack-47779.html,383,425,a
Azineu,Neutro,1 x 6's,https://dawaai.pk/medicine/azineu-250-mg-tablets-1-x-6s-pack-47837.html,142,158,a
Am-Telsan,Hilton,2 x 7's,https://dawaai.pk/medicine/am-telsan-10-mg-80-mg-tablets-2-x-7s-pack-47841.html,578,642,a
Artem Plus,Hilton,30 ml,https://dawaai.pk/medicine/artem-plus-30-mg-180-mg-dry-suspention-30-ml-pack-47843.html,245,272,a
Adrance-M,Atco,2 x 7's,https://dawaai.pk/medicine/adrance-m-5-mg-500-mg-tablets-2-x-7s-pack-47885.html,124,138,a
Adrance-M,Atco,2 x 7's,https://dawaai.pk/medicine/adrance-m-5-mg-850-mg-tablets-2-x-7s-pack-47886.html,113,125,a
Adrance-M,Atco,2 x 7's,https://dawaai.pk/medicine/adrance-m-125-mg-500-mg-tablets-2-x-7s-pack-47887.html,203,225,a
Adrance-M,Atco,2 x 7's,https://dawaai.pk/medicine/adrance-m-125-mg-850-mg-tablets-2-x-7s-pack-47888.html,144,160,a
Adrance-M,Atco,2 x 7's,https://dawaai.pk/medicine/adrance-m-125-mg-1000-mg-tablets-2-x-7s-pack-47889.html,158,176,a
Amsart,Macter,1 x 14's,https://dawaai.pk/medicine/amsart-10-mg-160-mg-tablets-1-x-14s-pack-47932.html,441,490,a
Amsart,Macter,1 x 14's,https://dawaai.pk/medicine/amsart-5-mg-80-mg-tablets-1-x-14s-pack-47933.html,315,350,a
Amis,Rite pharma,1 x 10's,https://dawaai.pk/medicine/amis-100-mg-tablets-1-x-10s-pack-47956.html,304,338,a
Amis,Rite pharma,1 x 10's,https://dawaai.pk/medicine/amis-400-mg-tablets-1-x-10s-pack-47957.html,836,929,a
Adrance,Atco,1 x 14's,https://dawaai.pk/medicine/adrance-25-mg-tablets-1-x-14s-pack-47984.html,540,600,a
Anplag,Pharm Evo,2 x 7's,https://dawaai.pk/medicine/anplag-60-mg-tablet-2-x-7s-pack-48004.html,286,318,a
Admit,Shaigan,1 x 14's,https://dawaai.pk/medicine/admit-50-mg-tablets-1-x-14s-pack-48011.html,405,450,a
Adrance,Atco,1 x 14's,https://dawaai.pk/medicine/adrance-10-mg-tablet-1-x-14s-pack-48014.html,360,400,a
Aminoleban Liquid,Otsuka,500 ml,https://dawaai.pk/medicine/aminoleban-500-ml-injection-pack-48016.html,829,921,a
Atizor,Hirani's Pharma,25 ml,https://dawaai.pk/medicine/atizor-200-mg-5-ml-suspension-25-ml-bottle-48062.html,284,315,a
Amsart,Macter,2 x 7's,https://dawaai.pk/medicine/amsart-10-mg-160-mg-tablets-2-x-7s-pack-48090.html,188,209,a
Alkeris,Sami,3 x 10's,https://dawaai.pk/medicine/alkeris-100-mg-tablet-3-x-10s-pack-48114.html,96,107,a
Antial,Sami,2 x 10's,https://dawaai.pk/medicine/antial-10-mg-tablets-2-x-10s-pack-48132.html,149,165,a
Av-Sartan,Barrett,1 x 14's,https://dawaai.pk/medicine/av-sartan-5-mg-80-mg-tablets-1-x-14s-pack-48200.html,342,380,a
Actrac,Serving Health Pakistan,3 x 10's,https://dawaai.pk/medicine/actrac-20-mg-soft-gelatin-capsules-3-x-10s-pack-48277.html,"1,831","2,035",a
Advit-D,Martin Dow,1 x 1 ml Ampoule Oral /,https://dawaai.pk/medicine/advit-d-200000-iu-injection-im-1-x-1-ml-ampoule-oral-im-pack-48322.html,162,180,a
Aromek,Galaxy,10 Tablets Bottle,https://dawaai.pk/medicine/aromek-25-mg-tablets-1-x-10s-bottle-49053.html,"3,042","3,380",a
Afdol,AGP,120 ml,https://dawaai.pk/medicine/afdol-oral-solution-120-ml-bottle-49189.html,990,"1,100",a
Afdol,AGP,1 x 14's,https://dawaai.pk/medicine/afdol-10-mg-tablet-1-x-14s-pack-49190.html,504,560,a
Algocin,AGP,1 x 10's,https://dawaai.pk/medicine/algocin-250-mg-tablet-1-x-10s-pack-49191.html,198,220,a
Algocin,AGP,1 x 10's,https://dawaai.pk/medicine/algocin-500-mg-tablet-1-x-10s-pack-49192.html,315,350,a
All-D,AGP,10 ml,https://dawaai.pk/medicine/all-d-drops-10-ml-pack-49239.html,270,300,a
Avec,Platinum,1 x 20's,https://dawaai.pk/medicine/avec-10-mg-tablets-1-x-20s-pack-49513.html,130,144,a
Avec,Platinum,120 ml,https://dawaai.pk/medicine/avec-5-mg-5-ml-syrup-120-ml-bottle-49625.html,125,139,a
Azocam-DS,Le Mendoza,1 x 6's,https://dawaai.pk/medicine/azocam-ds-500-mg-tablets-1-x-6s-pack-49810.html,265,294,a
Amstan,Scilife,1 x 14's,https://dawaai.pk/medicine/amstan-10-mg-160-mg-tablets-1-x-14s-pack-50032.html,541,601,a
Amstan,Scilife,1 x 14's,https://dawaai.pk/medicine/amstan-5-mg-160-mg-tablets-1-x-14s-pack-50033.html,466,518,a
Address,Scotmann,4 x 7's,https://dawaai.pk/medicine/address-10-mg-160-mg-tablets-4-x-7s-pack-50106.html,191,213,a
Abriva Plus,CCL,4 x 7's,https://dawaai.pk/medicine/abriva-plus-400-mg-100-mg-tablets-4-x-7s-pack-50153.html,"2,833","3,148",a
ARBI,Pharm Evo,1 x 10's,https://dawaai.pk/medicine/arbi-150-mg-tablets-1-x-10s-pack-50183.html,256,284,a
ARBI,Pharm Evo,1 x 10's,https://dawaai.pk/medicine/arbi-d-150-mg-125-mg-tablets-1-x-10s-pack-50184.html,324,360,a
ARBI,Pharm Evo,1 x 10's,https://dawaai.pk/medicine/arbi-300-mg-tablets-1-x-10s-pack-50185.html,383,426,a
ARBI-D,Pharm Evo,1 x 10's,https://dawaai.pk/medicine/arbi-d-300-mg-125-mg-tablets-1-x-10s-pack-50186.html,460,511,a
ARBI-D,Pharm Evo,2 x 7's,https://dawaai.pk/medicine/arbi-d-300-mg-25-mg-tablets-2-x-7s-pack-50187.html,328,364,a
Acefyl 60 ml (brown),Nabi Qasim,60 ml,https://dawaai.pk/medicine/acefyl-cough-syrup-60-ml-pack-50189.html,46,51,a
Admit,Shaigan,2 x 7's,https://dawaai.pk/medicine/admit-50-mg-500mg-tablets-2-x-7s-pack-50197.html,203,225,a
Azitma,Sami,15 ml,https://dawaai.pk/medicine/azitma-200-mg-5-ml-syrup-15-ml-pack-50247.html,198,220,a
Avega,hanzala pharmaceuticals,1 x 10's,https://dawaai.pk/medicine/avega-sr-3-mg-tablets-1-x-10s-pack-50249.html,886,984,a
Avega,hanzala pharmaceuticals,1 x 10's,https://dawaai.pk/medicine/avega-sr-6-mg-tablets-1-x-10s-pack-50250.html,"1,386","1,540",a
Actrapid HM Penfill,Novo Nordisk,1 x 3 ml,https://dawaai.pk/medicine/actrapid-hm-penfill-100iu-1-x-3-ml-pack-50273.html,352,391,a
Atorva,Pharmatec,2 x 10's,https://dawaai.pk/medicine/atorva-10-mg-tablets-2-x-10s-pack-50311.html,268,298,a
Alphacoline,High-Q,10 Amp,https://dawaai.pk/medicine/alphacoline-250-mg-2-ml-injection-10-amp-pack-50314.html,264,293,a
Aromasin 25 mg,Pfizer,1 x 15's,https://dawaai.pk/medicine/aromasin-25-mg-tablet-1-x-15s-pack-50334.html,"7,009","7,788",a
Ansaid 100mg Tablet,Pfizer,3x10's,https://dawaai.pk/medicine/ansaid-100mg-tablet-3-x-10s-pack-50349.html,97,108,a
Actogin,Atco,2x7's,https://dawaai.pk/medicine/normitab-pulse-tablet-2-x-7s-pack-1-50355.html,253,281,a
Arinac Forte,Abbott Laboratories,10x10's,https://dawaai.pk/medicine/arinac-forte-113.html,96,106,a
Aripip 10mg,Pharmatec,30,https://dawaai.pk/medicine/Aripiptab-Tablet10-199.html,144,160,a
Amoxil,GlaxoSmithKline,1 x 20's,https://dawaai.pk/medicine/AmoxilCap-Capsule500-226.html,273,303,a
Adalat LA,Bayer,20,https://dawaai.pk/medicine/AdalatLA-Tablet30-264.html,329,365,a
Arinac Tab,Abbott Laboratories,10x10's,https://dawaai.pk/medicine/arinac-351.html,49,55,a
Aripip 15mg,Pharmatec,3x10's,https://dawaai.pk/medicine/Aripiptab-Tablet10-415.html,192,213,a
Arimidex 1mg,ICI Pakistan Limited,2x14's,https://dawaai.pk/medicine/arimidex-1mg-491.html,"5,356","5,951",a
Avelox,Bayer,1x5's,https://dawaai.pk/medicine/avelox-400mg-496.html,938,"1,043",a
Atarax,GlaxoSmithKline,2 x 25's,https://dawaai.pk/medicine/atarax-25mg-515.html,65,73,a
Ascard Plus,Atco,10,https://dawaai.pk/medicine/ascard-plus-566.html,215,239,a
Alp,Hilton,3x10's,https://dawaai.pk/medicine/alp-05mg-604.html,85,95,a
Amoxil 250 Mg,GlaxoSmithKline,5x20's,https://dawaai.pk/medicine/AmoxilCap-Capsule500-686.html,113,126,a
AM-Descol,Nabi Qasim,2 x 7's,https://dawaai.pk/medicine/am-descol-510mg-907.html,186,207,a
Alphagan,Wyeth,5ml,https://dawaai.pk/medicine/alphagan--1041.html,724,804,a
Atorva,Pharmatec,10s,https://dawaai.pk/medicine/atorva-10mg-1253.html,277,308,a
Adoxa 100mg,Pharma Health,30,https://dawaai.pk/medicine/adoxa-100mg-1268.html,75,84,a
Axcin,Novartis,1x10's,https://dawaai.pk/medicine/axcin-500mg-1355.html,315,350,a
Alfa-D 0.5mcg,Platinum,1,https://dawaai.pk/medicine/alfa-d-05mcg-1387.html,270,300,a
Azomax,Novartis,15ml,https://dawaai.pk/medicine/azomax-suspension-1417.html,338,375,a
Artholex Advanced,Celven Life Sciences,3 x 10's,https://dawaai.pk/medicine/artholex-advanced-1449.html,324,360,a
Aerokast,Barrett,14's,https://dawaai.pk/medicine/aerokast-10mg-1485.html,432,480,a
Advantan Fatty Ointment,Bayer,10gm,https://dawaai.pk/medicine/advantan-fatty-ointment-1527.html,239,265,a
Advantan Ointment,Bayer,10gm,https://dawaai.pk/medicine/advantan-ointment-1550.html,266,295,a
Augmentin  Infant Drops 62.5mg/ml,GlaxoSmithKline,20 ml,https://dawaai.pk/medicine/augmentin-infant-drops-625mgml-1615.html,164,183,a
Artem Plus,Hilton,1x6's,https://dawaai.pk/medicine/artem-ds-plus-80480-1622.html,513,570,a
Anafortan Plus,AGP,3x10's,https://dawaai.pk/medicine/anafortan-plus-1964.html,224,248,a
Ampress 5mg,Barrett,20,https://dawaai.pk/medicine/ampress-5mg-2716.html,90,100,a
Acicon 20mg,Barrett,10,https://dawaai.pk/medicine/acicon-20mg-5287.html,128,142,a
Acylex 200mg,Ferozsons,5x5's,https://dawaai.pk/medicine/acylex-200mg-5291.html,71,79,a
Ampiclox Syrup 250mg/ 5ml,GlaxoSmithKline,90ml,https://dawaai.pk/medicine/ampiclox-syrup-250mg-5ml-5296.html,205,228,a
Ampiclox 250mg,GlaxoSmithKline,5x20's,https://dawaai.pk/medicine/ampiclox-250mg-5297.html,146,162,a
Ampiclox 500mg,GlaxoSmithKline,5x20,https://dawaai.pk/medicine/ampiclox-500mg-5298.html,248,276,a
Apsin 40mg,Saffron,1 x 10's,https://dawaai.pk/medicine/apsin-40mg-5299.html,204,226,a
Acylex 400mg,Ferozsons,2x10's,https://dawaai.pk/medicine/acylex-400mg-5441.html,270,300,a
Abocal,Abbott Laboratories,1x10's,https://dawaai.pk/medicine/abocal-calciumvitdcb6-tablet-5466.html,257,286,a
Acyclovir,Abbott Laboratories,10 ml,https://dawaai.pk/medicine/acyclovir-500-mg-10ml-injection-5488.html,"1,304","1,449",a
ACYLEX (Acyclovir) 200mg/5ml 60 ML SUSPENSION,Ferozsons,60ml,https://dawaai.pk/medicine/acylex-acyclovir-200mg5ml-60-ml-suspension-5489.html,495,550,a
Advantan Cream 10g,Bayer,10gm,https://dawaai.pk/medicine/advantan-cream-10g-5501.html,266,295,a
Aerokast 4mg Tab,Barrett,1,https://dawaai.pk/medicine/aerokast-4mg-tab-5504.html,228,254,a
Anafortan Plus,AGP,6 Amp x 4ml,https://dawaai.pk/medicine/anafortan-plus-inj-5553.html,111,123,a
Atorva,Pharmatec,10's,https://dawaai.pk/medicine/atorva-20mg-tab-5580.html,494,549,a
Augmentin,GlaxoSmithKline,90ml,https://dawaai.pk/medicine/augmentin-15625mg5ml-syrup-60ml-5583.html,310,344,a
Aurora,Ferozsons,1x10's,https://dawaai.pk/medicine/aurora-5mg-tab-5587.html,183,203,a
Aerokast Powder Sachet 4mg,Barrett,1,https://dawaai.pk/medicine/aerokast-sachet-4mg-14s-9189.html,25,28,a
AMOXIL FORTE 250mg 90 ML SYP,GlaxoSmithKline,90ml,https://dawaai.pk/medicine/amoxil-forte-250mg-90-ml-syp-9204.html,158,175,a
Amplus 500mg,Bosch,1 Vial,https://dawaai.pk/medicine/amplus-500mg-inj-9206.html,70,78,a
Aerokast 5mg Tab,Barrett,14's,https://dawaai.pk/medicine/aerokast-5mg-tab-10099.html,272,302,a
Avsar,Pharm Evo,2x7's,https://dawaai.pk/medicine/avsar-580-mg-tablets-10620.html,177,197,a
Antolol,Icon,20s,https://dawaai.pk/medicine/antolol-10657.html,135,150,a
Atenorm,Ferozsons,20s,https://dawaai.pk/medicine/atenorm-2-10825.html,137,153,a
Atenorm,Ferozsons,14s,https://dawaai.pk/medicine/atenorm-3-10826.html,63,70,a
Atlin,Bosch,20s,https://dawaai.pk/medicine/atlin-3-10829.html,54,60,a
Actim,Sami,14s,https://dawaai.pk/medicine/actim-3-10846.html,216,240,a
Actim,Sami,14s,https://dawaai.pk/medicine/actim-5-10848.html,148,165,a
Amaryl,Sanofi,2x15's,https://dawaai.pk/medicine/amaryl-11038.html,140,155,a
Amaryl,Sanofi,2x15's,https://dawaai.pk/medicine/amaryl-2-11040.html,277,308,a
Amaryl,Sanofi,2x15's,https://dawaai.pk/medicine/amaryl-4-11042.html,416,462,a
Amaryl,Sanofi,2x15's,https://dawaai.pk/medicine/amaryl-6-11044.html,554,615,a
Amaryl M S.R,Sanofi,30s,https://dawaai.pk/medicine/amaryl-m-11272.html,189,210,a
Amaryl-M.S.R,Sanofi,3 x 10's,https://dawaai.pk/medicine/amaryl-m-1-11273.html,340,378,a
Andrex,OBS,3x10's,https://dawaai.pk/medicine/andrex-1-12183.html,288,320,a
Atcomid,Atco,14,https://dawaai.pk/medicine/atcomid-1-12475.html,572,635,a
Atcomid,Atco,14,https://dawaai.pk/medicine/atcomid-3-12477.html,432,480,a
Albizole,Icon,1,https://dawaai.pk/medicine/albizole-12769.html,99,110,a
Acuron,Brookes,5 Ampx3ml,https://dawaai.pk/medicine/acuron-12901.html,132,147,a
Acetofen,Shaigan,100,https://dawaai.pk/medicine/acetofen-12914.html,44,48,a
Ambrogesic,Icon,10x10s,https://dawaai.pk/medicine/ambrogesic-12916.html,32,35,a
Agile,Wilshire,2x10's,https://dawaai.pk/medicine/agile-12953.html,117,131,a
Agile,Wilshire,10,https://dawaai.pk/medicine/agile-2-12955.html,235,261,a
Analar,AGP,1x10's,https://dawaai.pk/medicine/analar-12956.html,133,147,a
Amodip-V,Mass-PH Health,2x7's,https://dawaai.pk/medicine/amodip-13193.html,259,288,a
Amodip-V,Mass-PH Health,2x7's,https://dawaai.pk/medicine/amodip-1-13194.html,187,208,a
Amstan,Scilife,28,https://dawaai.pk/medicine/amstan-13196.html,479,532,a
Amstan,Scilife,28,https://dawaai.pk/medicine/amstan-2-13198.html,347,386,a
Angiotan H,Efroze,14,https://dawaai.pk/medicine/angiotan-h-13237.html,302,336,a
Advant,Getz Pharma,2 x 7's,https://dawaai.pk/medicine/advant-13270.html,236,263,a
Advant,Getz Pharma,2 x 7s,https://dawaai.pk/medicine/advant-1-13271.html,180,200,a
Advantec,Getz Pharma,4 x 7's,https://dawaai.pk/medicine/advantec-13303.html,236,263,a
Aprovel,Sanofi,28,https://dawaai.pk/medicine/aprovel-13316.html,599,666,a
Aprovel,Sanofi,2x14s,https://dawaai.pk/medicine/aprovel-1-13317.html,"1,677","1,863",a
A2A,Wilson's,10,https://dawaai.pk/medicine/a2a-13338.html,243,270,a
A2A,Wilson's,20,https://dawaai.pk/medicine/a2a-2-13340.html,259,288,a
Adenuric,S.J. & G. Fazul Ellahie,20,https://dawaai.pk/medicine/adenuric-1-13413.html,293,325,a
Adronil,Searle,1x1's,https://dawaai.pk/medicine/adronil-1-13486.html,676,751,a
Atconate,Atco,1,https://dawaai.pk/medicine/atconate-13516.html,594,660,a
Aldomet,OBS,10x10's,https://dawaai.pk/medicine/aldomet-14401.html,110,123,a
Azotek,Saffron,6,https://dawaai.pk/medicine/azotek-14418.html,214,238,a
Azotek,Saffron,1 x 6's,https://dawaai.pk/medicine/azotek-1-14419.html,393,436,a
Azopt,Novartis,5ml,https://dawaai.pk/medicine/azopt-14624.html,"1,440","1,600",a
